Product Name,Product Url,Prices,Rating,Number of Review
"OPPO Reno10 5G (Silvery Grey, 256 GB)",https://www.flipkart.com/oppo-reno10-5g-silvery-grey-256-gb/p/itmdedc9618cea51?pid=MOBGQP3UFZA4KJYV&lid=LSTMOBGQP3UFZA4KJYVA5FVFS&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=en_RGMRWCBYcVqhWUdZE9jYAG2HYzNUlMd4vDU71bHTnD8W-dxDt6U34Z_emEniV5zm_68dVFd7QL7u02kaLcv2lw%3D%3D&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹32,999",Not Available,0
"Infinix Smart 7 HD (Green Apple, 64 GB)",https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹6,199",4.3,630
"Infinix SMART 7 (Azure Blue, 64 GB)",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"POCO C55 (Cool Blue, 64 GB)",https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹8,499",4.2,"2,027"
"POCO C50 (Country Green, 32 GB)",https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039"
"POCO C50 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039"
"Infinix SMART 7 (Emerald Green, 64 GB)",https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"POCO C51 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,499",4.2,"1,231"
"MOTOROLA g42 (Atlantic Green, 64 GB)",https://www.flipkart.com/motorola-g42-atlantic-green-64-gb/p/itmcd4986b7d00b5?pid=MOBGBUPWDZHQYXNB&lid=LSTMOBGBUPWDZHQYXNB41TBQE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGBUPWDZHQYXNB.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹9,999",4.2,817
"POCO C55 (Power Black, 64 GB)",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹8,499",4.2,"2,027"
